word,ig_score
really,0.08225504064035637
life,0.08220058466706957
while,0.08214349885072027
so,0.0818361468274485
body,0.0816521872766316
ran,0.08143694202105205
put,0.08141539767384529
time,0.08140511836471229
one,0.08136521033676607
students,0.08120911816755931
ne,0.08106593911846478
decision,0.08087921515107155
own,0.08087267144583166
got,0.08030611239373683
came,0.08015402108430862
pretty,0.08001422099769115
als,0.0798607636243105
what,0.07966013414491165
thing,0.07962936411301295
online,0.078972377628088
small,0.078924760222435
ll,0.07878587005490606
dealing,0.07855161186307669
calm,0.07812420402963956
because,0.07801277719830212
died,0.07793742045760155
difficult,0.0776010515789191
ago,0.07728593097999692
am,0.0770341929580484
ready,0.07703283491233985
thinking,0.07702820396257772
help,0.0769436855490009
getting,0.07692574958006541
just,0.07687897983217432
feels,0.07682636845856905
already,0.0767157405614853
says,0.07671513082459569
them,0.07662285049445927
happened,0.07655272372066975
look,0.07654135922590892
longer,0.07629450038075447
of,0.0762515776743523
you,0.07615951115363523
else,0.07607169034467502
classes,0.07592315319925547
then,0.07586079090833664
word,0.07579059973359108
an,0.07550975000830712
play,0.07549113656083743
get,0.07547858927511808
music,0.07544138708284923
first,0.07528649363666773
angry,0.07517423232396443
still,0.07510702547274138
throw,0.07488540187478065
tell,0.07487727722360028
second,0.0745801143348217
each,0.07439948866764705
could,0.07434966927394271
go,0.07432970590889454
breath,0.07420255492130916
took,0.07407550079127152
in,0.07396338919193304
ga,0.07387396072347958
myself,0.07377647596370915
level,0.0735826849937439
years,0.07355887573212386
sort,0.07346085955699284
daily,0.07344391942024231
best,0.07338070869445801
etc,0.07329779677093029
car,0.07308535277843475
that,0.07304013663168074
does,0.07299675686018807
beyond,0.07289005815982819
the,0.07286289578874235
left,0.07268553134053946
her,0.07268131919430965
like,0.07262726191190942
stuck,0.07194064650684595
kind,0.07190311249966423
any,0.07188326636186013
been,0.07185893832765361
about,0.07176952203735709
dget,0.0717425150796771
something,0.07164853489534422
soon,0.07160412147641182
it,0.0712990705201875
same,0.0712800348798434
point,0.0709000016961779
kept,0.07077800172070663
wasn,0.070696260035038
up,0.07055048103488627
past,0.07052457456787427
hear,0.07030489419897397
change,0.07022656723856927
home,0.07016917206346988
their,0.07006125822663307
cannot,0.06985854879021644
made,0.069625208619982
days,0.06962486412376165
keep,0.06950797167207513
and,0.06930026698361647
start,0.06917726674250194
little,0.0689589448273182
all,0.06870805016277652
eat,0.06870177015662193
shit,0.06860173400491476
be,0.06838415680947352
new,0.06826029362326319
have,0.06825687255749995
head,0.06824117852374911
asking,0.06813060939311981
at,0.06803776526256748
university,0.06748173013329506
idea,0.06729729606636933
red,0.0672230397661527
research,0.06720930524170399
pre,0.06705763377249241
reason,0.06685041822493076
doesn,0.06652649231255055
listen,0.06647728430107236
was,0.06639865633100271
were,0.06637224135920405
would,0.06616181979576746
struggle,0.06568852998316288
use,0.06562836607918143
month,0.06550999544560909
floor,0.06550016378362973
later,0.06521453894674778
app,0.06514986827969552
free,0.0643391025563081
when,0.0643210719184329
scared,0.0642752122754852
found,0.0639692594607671
where,0.06387048163874583
some,0.06380337996310309
how,0.06379248800554446
talking,0.06361888162791729
student,0.06352621801197529
they,0.06351025949697942
re,0.06338510476052761
using,0.06320517137646675
into,0.06303109787404537
tried,0.062845828384161
or,0.06272320432795418
ve,0.06271046958863735
survey,0.06267271128793557
try,0.06262843078002334
friends,0.06257576698606665
quite,0.06240598733226458
who,0.06225756881758571
ever,0.062251558527350426
maybe,0.06195300657834325
trigger,0.06178095440069834
your,0.061776427241663136
probably,0.061654850685348116
take,0.06142241055411952
weeks,0.06114604230970144
enough,0.061047114964042394
seems,0.06099714773396651
since,0.060962566089901055
thought,0.060944231847922005
feel,0.06092426700647487
by,0.06084864807780832
tv,0.06053390478094419
saying,0.06040538262043681
understand,0.06028556131890842
afraid,0.06019926195343336
actually,0.06002996675670147
now,0.059994536123293286
having,0.05996494988600413
see,0.05978640458650059
come,0.05977875646203756
eventually,0.059628953536351524
why,0.059600144159048796
share,0.05953200037280718
brother,0.0593786493409425
wanted,0.05937744677066803
physical,0.0593111552298069
different,0.059308174066245556
had,0.05925790599680373
none,0.0592532716691494
project,0.059171984903514385
if,0.05916571791373914
deeply,0.05916487549742063
experiencing,0.05904904877146085
even,0.05883335218661361
few,0.0587942769130071
do,0.05872880722480742
anything,0.058463161112740636
please,0.05804948974400759
less,0.05797404268135627
heard,0.05796168247858683
doing,0.05784168911094849
know,0.057682414463645706
to,0.05757757288418592
but,0.05733002534915888
went,0.05673330510035157
want,0.05654972958329477
